,County,Area,Tract,GEOID,day,night,DevelopedArea,Pop,State,Black,Asian,White,Hispanic,nonUS,Edu,SP,Age,Income,Housing
56635,Providence County Rhode Island,1321223.85347203,Census Tract 8,44007000800,12.5115838925187,3.19928770086526,1322930.53007238,4219,RI,0.138421426878407,0.186537094098128,0.480208580232283,0.192462668878881,0.224934818677412,0.470053475935829,0.178571428571429,0.0545152879829343,8862.0,1070.0
56636,Providence County Rhode Island,450895.796467149,Census Tract 9,44007000900,13.4741612750173,3.74087366287092,451337.710784314,2548,RI,0.106750392464678,0.0361067503924647,0.558869701726845,0.337912087912088,0.183673469387755,0.596554199569275,0.555555555555556,0.0631868131868132,15103.0,884.0
56637,Providence County Rhode Island,439727.920019452,Census Tract 10,44007001000,13.1630524220305,3.8687820172528,440096.447334559,2680,RI,0.194029850746269,0.0272388059701493,0.343283582089552,0.450746268656716,0.201492537313433,0.62962962962963,0.34,0.0690298507462687,18451.0,859.0
56638,Providence County Rhode Island,492739.111465768,Census Tract 11,44007001100,13.3073761447971,3.51750246723509,493186.11635072,2402,RI,0.0907577019150708,0.0416319733555371,0.670274771024147,0.195670274771024,0.103663613655287,0.347768154563624,0.170068027210884,0.0087427144046627,20824.0,1093.0
56639,Providence County Rhode Island,556548.065065075,Census Tract 12,44007001200,13.1108636379515,3.25735511423181,557367.747782629,3079,RI,0.24910685287431,0.0,0.139006170834687,0.639168561221176,0.203637544657356,0.497096399535424,0.852477477477477,0.032478077297824,13581.0,588.0
56640,Providence County Rhode Island,587571.801559781,Census Tract 13,44007001300,12.7819230769231,3.91373350879804,588129.025051701,4824,RI,0.123756218905473,0.109038142620232,0.20273631840796,0.55016583747927,0.29332504145937,0.648862512363996,0.59439406430338,0.0203150912106136,17667.0,990.0
56641,Providence County Rhode Island,898411.346312926,Census Tract 14,44007001400,12.6769427619542,3.94163261992141,899383.092961091,6709,RI,0.176181249068416,0.193024295722164,0.0637949023699508,0.566254285288419,0.383216574750335,0.760719225449516,0.769033909149072,0.0178864212252199,18067.0,903.0
56642,Providence County Rhode Island,1713559.40247666,Census Tract 15,44007001500,11.590380428921,3.97574303344061,1715540.30763442,3036,RI,0.205533596837945,0.105401844532279,0.230237154150198,0.494400527009223,0.180171277997365,0.534036939313984,0.357142857142857,0.0375494071146245,24207.0,1093.0
56643,Providence County Rhode Island,1214873.39805959,Census Tract 16,44007001600,11.6470537587938,3.76742470807623,1216435.26493183,8454,RI,0.120061509344689,0.0476697421339011,0.0893068370002366,0.771350839839129,0.371421812159924,0.730663525716529,0.621039805036556,0.0246037378755619,21840.0,1058.0
56644,Providence County Rhode Island,647601.810979683,Census Tract 17,44007001700,9.58453394706561,3.16772581146001,533019.104568781,3242,RI,0.0829734731647131,0.0425663170882171,0.287476866132017,0.554904380012338,0.232264034546576,0.667648502700049,0.720785935884178,0.0549043800123381,21307.0,965.0
56645,Providence County Rhode Island,1807608.5077727,Census Tract 18,44007001800,9.8486250952691,3.3948565542027,1571039.64667011,6668,RI,0.161367726454709,0.0841331733653269,0.174865026994601,0.613677264547091,0.221655668866227,0.747230095336254,0.549056603773585,0.0302939412117576,19301.0,824.0
56646,Providence County Rhode Island,1150096.92175035,Census Tract 19,44007001900,12.1235350699114,3.89369325246783,1150784.06594861,5420,RI,0.187269372693727,0.0490774907749078,0.146863468634686,0.620848708487085,0.215129151291513,0.655536626916525,0.733860342555995,0.0202952029520295,17475.0,998.0
56647,Providence County Rhode Island,1467268.65906407,Census Tract 20,44007002000,9.72886315451224,3.40019465590692,1468994.06366039,7216,RI,0.139828159645233,0.019539911308204,0.312915742793792,0.500692904656319,0.0993625277161863,0.693027467552068,0.625862862402209,0.0314578713968958,16083.0,966.0
56648,Providence County Rhode Island,452937.03407576,Census Tract 21.01,44007002101,10.3138816185319,3.52171157813305,452891.254919194,2769,RI,0.277356446370531,0.0032502708559046,0.340556157457566,0.378837125315999,0.158902130733117,0.491196114146934,0.311764705882353,0.0418923799205489,22058.0,1122.0
56649,Providence County Rhode Island,829579.112543579,Census Tract 21.02,44007002102,10.9880490932217,3.6760942885278,830252.126708027,5601,RI,0.324584895554365,0.0033922513836814,0.18728798428852,0.586680949830387,0.175504374218889,0.615044247787611,0.726027397260274,0.0308873415461525,19768.0,984.0
56650,Providence County Rhode Island,820963.781372055,Census Tract 22,44007002200,12.7315096618357,4.02567612129393,822000.916528799,5248,RI,0.317644817073171,0.0929878048780488,0.116044207317073,0.591272865853659,0.225609756097561,0.602555003548616,0.547985781990521,0.0043826219512195,17029.0,1014.0
56651,Providence County Rhode Island,1180388.57476931,Census Tract 23,44007002300,11.7020044315945,3.75174588759566,1181445.79624885,4851,RI,0.0981240981240981,0.0263863121005978,0.776540919398062,0.0911152339723768,0.0125747268604411,0.223525353570197,0.461414790996785,0.0950319521748093,26667.0,1217.0
56652,Providence County Rhode Island,3068607.89083315,Census Tract 24,44007002400,9.87694415835315,3.37044661124308,3072538.09482422,7160,RI,0.0638268156424581,0.0240223463687151,0.74608938547486,0.143016759776536,0.0466480446927374,0.278701936187619,0.236363636363636,0.0540502793296089,18682.0,1389.0
56653,Providence County Rhode Island,1232579.87194391,Census Tract 25,44007002500,13.2121493926487,3.94615941000157,1233947.78064108,2796,RI,0.209585121602289,0.149141630901288,0.330114449213162,0.25035765379113,0.222460658082976,0.355594610427651,0.670807453416149,0.0064377682403433,26190.0,1129.0
56654,Providence County Rhode Island,659547.539737717,Census Tract 26,44007002600,12.6952061775891,3.94626370832228,660229.613880592,3158,RI,0.318872704243192,0.0728309056364788,0.184610512982901,0.47213426219126,0.234325522482584,0.626688276607239,0.708235294117647,0.0440151994933502,15782.0,855.0
56655,Providence County Rhode Island,1129146.81832238,Census Tract 27,44007002700,11.8725410176934,3.80566718326231,1130170.92874349,5670,RI,0.234215167548501,0.0208112874779541,0.310582010582011,0.418165784832451,0.122574955908289,0.623011468738439,0.716139497161395,0.0303350970017637,10757.0,872.0
56656,Providence County Rhode Island,1640066.93447511,Census Tract 28,44007002800,10.5004778723237,3.53950010521333,1109688.81139897,6493,RI,0.259818265824734,0.0403511473894964,0.341752656707223,0.393038657015247,0.0870167873094101,0.60214778828944,0.75782092772384,0.033728630833205,21293.0,1052.0
56657,Providence County Rhode Island,2535530.76529368,Census Tract 29,44007002900,12.1032004270666,3.90532166911371,2504957.97888902,6770,RI,0.359527326440177,0.0001477104874446,0.420679468242245,0.282127031019202,0.096602658788774,0.425868999763537,0.462006079027356,0.0583456425406204,25156.0,945.0
56658,Providence County Rhode Island,1224490.74502034,Census Tract 31,44007003100,12.0697645281431,3.93624884854838,1225509.76255362,4384,RI,0.232436131386861,0.114735401459854,0.510036496350365,0.137317518248175,0.202098540145985,0.289069840275603,0.696335078534031,0.0926094890510949,17242.0,936.0
56659,Providence County Rhode Island,686624.736357853,Census Tract 32,44007003200,11.6712779829626,3.89465571404314,687654.86997166,3201,RI,0.136832239925023,0.0440487347703843,0.718213058419244,0.0921587004061231,0.0602936582318026,0.114828209764919,0.21577380952381,0.0496719775070291,42644.0,1256.0
56660,Providence County Rhode Island,1938964.76743803,Census Tract 33,44007003300,11.8818966885872,3.81196254439294,1939677.25692785,4064,RI,0.0819389763779527,0.0772637795275591,0.781742125984252,0.0433070866141732,0.0642224409448819,0.229432972795805,0.32824427480916,0.062253937007874,39613.0,1319.0
56661,Providence County Rhode Island,4335334.57313768,Census Tract 34,44007003400,8.80211619241567,3.50282836455471,2666298.16102941,5192,RI,0.0217642526964561,0.0373651771956857,0.924306625577812,0.0136748844375963,0.0479583975346687,0.0424750917671736,0.193232413178985,0.0939907550077042,54461.0,1983.0
56662,Providence County Rhode Island,1744386.70552489,Census Tract 35,44007003500,9.72684942333958,3.62982796297234,1154453.92320389,4852,RI,0.0373042044517725,0.121805441055235,0.75762572135202,0.0733718054410552,0.122629843363561,0.136363636363636,0.215885947046843,0.0968672712283594,30665.0,1210.0
56663,Providence County Rhode Island,828979.465686762,Census Tract 36.01,44007003601,10.5715603629283,3.57482340383105,829757.1108858,2847,RI,0.0354759395855286,0.139093782929399,0.69371268001405,0.0853530031612223,0.151036178433439,0.0238353196099675,0.0,0.0084299262381454,7272.0,1181.0
56664,Providence County Rhode Island,816742.58877794,Census Tract 36.02,44007003602,11.2264529983214,3.45689706179983,817549.459959023,5660,RI,0.0710247349823322,0.125265017667845,0.701413427561837,0.0768551236749117,0.0874558303886926,0.0416666666666667,0.189542483660131,0.0118374558303887,3832.0,1845.0
